"Timestamp","","Gender","How spiritual do you consider yourself to be?","Age","Participant ID","On a scale from 1 to 9, where 1 means “Low Arousal” and 9 means “High Arousal”, please indicate how much you feel after watching the video. (By Arousal, we mean how much the video affected you)","On a scale from 1 to 9, where 1 means “Unpleasant” and 9 means “Pleasant”, please indicate how much you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t feel moved at all” and 9 means “Felt moved very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t feel uplifted at all” and 9 means “Felt uplifted very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t feel optimistic about humanity at all” and 9 means “Felt optimistic about humanity very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t feel a warm feeling in the chest at all” and 9 means “Felt a warm feeling in the chest very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t want to help others at all” and 9 means “Want to help others very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t want to become a better person at all” and 9 means “Want to become a better person very strongly”, please indicate how you feel after watching the video.","On a scale from 1 to 9, where 1 means “Didn’t feel happy at all” and 9 means “Felt happy very strongly”, please indicate how you feel after watching the video.","Give a short summary of the video in not more than 50 words.","Have you watched this video before?","Are you able to relate this video to the current affairs going on in the world?","Your friend has an assignment deadline in an hour which he is rushing to complete but has ordered food which came earlier than expected. How likely are you to pick it up for him?","Oral attendance through roll call is being taken. Your friend slept in again and is late. The professor is strict and will not allow him to give his attendance as he is late. The prof will also get angry if they catch you giving a proxy. Would you be willing to take the risk for your friend and give proxy attendance?","Early morning at a long metro ticket line, you see around a dozen people ahead with a senior citizen at the front. He is unable to understand the cashier and pay for his ticket and is clearly in distress. How likely are you to help him with the very high possibility of losing your position in the line that you have got after standing for more than 20 minutes?","You had a very long day and you just submitted a heavy and hectic assignment. You almost fall asleep. But your roommate calls out for some food if possible as he is really sick and cannot handle the hunger pang. But you both have run out of snacks in your room, it's 3 AM so almost everyone is asleep and all canteens on campus are closed. Food delivery apps are offline too now. Though there are some biscuits, something filling to eat is better. How likely are you to get out of your bed and get something from DLF(outside campus, approx 40 minutes to and fro) rather than letting him have those biscuits?","There is an important deadline tonight but some urgent personal issue came up for your friend and he is unable to complete his assignment. You have completed your assignment, but have ongoing projects that you do have to look at. Do you think you would put your current projects on hold to help him out with his assignment?","You are really good in your favorite thing to do. A stranger comes up to you and asks you to help him get started in that same thing as he is interested in it. How likely are you to teach him the basics for probably a couple of days?","End sems are over! To loosen out and enjoy, you decide to have pizza and catch up on your favorite series. When you go to collect it, the delivery guy is visibly anxious as he has to deliver almost 40 pizzas at once, and would definitely love it if you could help distribute them, as then he could quickly go for other pending deliveries. But doing so would take around 20 minutes, leading to your pizza going cold, and also you will have to take up the responsibility of the proper distribution, failing which you may have to face the wrath of hungry students. Do you think it is worth it to hold off on the pizza and help the delivery man?","Your friend is currently stuck at the airport and missed his flight. He requested you to send him money so he could book another flight, as he is currently unable to get it from his parents. You are reluctant to transfer money, as it is a significant amount and are unsure if he will return it soon. Also your parents won't be happy with this transfer and would get a scolding. Keeping all this mind, how likely are you to transfer the amount?","You notice a dog lying on the roadside, supposedly too weak to cry for help at this point. A putrid odor around it, you are unsure about how safe it is to approach it. You notice everyone else ignoring it. Do you think you would take the health risk and take the dog to a vet?","You’re the captain of the college cricket team. Your team has almost qualified for the playoffs with a last deciding match to play. Your passionate friend who has been training rigorously is visibly distressed on not getting a chance to play and requests you to give him some play time. However, you cannot lose the next match and picking him would mean not putting out your best team. How likely are you to take the risk by playing him?","A friend has fallen severely ill and requests you to take him to the hospital, which will engage you the whole day. The main issue is you have a heavy end sem tomorrow which is almost half your course grade. How likely are you to accompany him to the hospital, keeping in mind the option of letting him go alone to the hospital which is bad as he is visibly scared and needs company.","You are preparing for tomorrow’s end sem and rushing to complete topics and papers. Your friend requests you to fill up a 25 minute survey that is necessary for his course project. How likely are you to fill it?","You are hurriedly going to the final exam hall from the mess, and remember that your friend must still be asleep. How likely are you to return back to the hostel to wake him up, with the chance of losing crucial exam minutes?","You have an end sem tomorrow and you have quite a bit left to study. Your friend who lives 20 minutes away calls you up and tells you he is having a nervous breakdown and needs you to be with him. Do you think it is likely that you would give up on your exam prep to go help your friend?","You are at the railway station and see a child trip and fall on the rail tracks. You can see the train approach in the far off and will be here in 10 seconds. How likely are you to pick him up by risking your life?","If possible, I would return lost money to the rightful owner.","I would avoid aiding someone in a medical emergency if I could.","Helping friends and family is one of the great joys in life.","I try to offer my help with any activities my community or school groups are carrying out.","Volunteering to help someone is very rewarding.","I rarely contribute money to a worthy cause.","Doing volunteer work makes me feel happy.","Unless they are part of my family, helping the elderly isn’t my responsibility.","Children should be taught about the importance of helping others.","I dislike giving directions to strangers who are lost.","I plan to donate my organs when I die with the hope that they will help someone else live.","Helping others is usually a waste of time.","I feel at peace with myself when I have helped others.","I feel proud when I know that my generosity has benefited a needy person.","Helping people does more harm than good because they come to rely on others and not themselves.","Giving aid to the poor is the right thing to do.","Been able to concentrate on what you’re doing?","Lost much sleep over worry?","Felt you were playing a useful part in things?","Felt capable of making decisions about things?","Felt constantly under strain?","Felt you couldn’t overcome your difficulties?","Been able to enjoy your normal day-to-day activities?","Been able to face up to your problems?","Been feeling unhappy and depressed?","Been losing confidence in yourself?","Been thinking of yourself as a worthless person?","Been feeling reasonably happy, all things considered"
"2020/11/13 9:45:38 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Somewhat","","2018","6","3","5","5","4","5","5","6","4","Jews were killed randomly without any reason. ","No","Yes","Definitely","Possibly","Possibly","Probably","Probably","Probably","Probably","Probably","Probably Not","Probably Not","Probably","Possibly","Possibly","Definitely","Probably","Probably","Probably Not","Probably","Possibly","Probably","Probably","Possibly","Probably Not","Probably","Probably Not","Probably","Probably Not","Probably","Possibly","Probably Not","Probably","Less than usual","No more than usual","Less useful than usual","Same as usual","Rather more than usual","No more than usual","Less so than usual","Same as usual","No more than usual","Rather more than usual","No more than usual","About same as usual"
"2020/11/13 9:48:21 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Slightly","","2021","7","2","7","8","1","2","7","7","2","The scene might be a depiction of circumstances during world wars. They had no mercy. It was too serious that it felt sarcastic until some point. ","No","Yes","Definitely","Probably Not","Definitely Not","Definitely Not","Definitely","Definitely","Possibly","Probably Not","Probably Not","Probably Not","Probably","Definitely","Definitely","Definitely","Probably Not","Definitely","Definitely Not","Definitely","Probably","Probably","Possibly","Probably","Definitely Not","Definitely","Definitely Not","Definitely","Definitely Not","Definitely","Definitely","Probably Not","Definitely","Less than usual","No more than usual","Much less useful","Less useful than usual","Rather more than usual","Much more than usual","Same as usual","Less so than usual","Rather more than usual","Much more than usual","Rather more than usual","About same as usual"
"2020/11/13 9:53:06 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Somewhat","","2026","9","1","9","9","1","1","9","9","1","That's the most cruel thing I have ever seen. No mercy at all. Throwing an old man off a building just coz he can't stand? And asking people to run away and shoot them!! Sadism at it's peaks.","No","No","Definitely","Definitely Not","Probably","Probably Not","Definitely","Definitely","Probably","Definitely","Probably Not","Probably","Possibly","Definitely","Probably Not","Possibly","Probably","Definitely","Probably Not","Definitely","Probably","Definitely","Probably Not","Definitely","Probably Not","Definitely","Definitely Not","Possibly","Definitely Not","Definitely","Probably","Probably Not","Definitely","Less than usual","No more than usual","More so than usual","Same as usual","Much more than usual","Much more than usual","Less so than usual","Less so than usual","Rather more than usual","Not at all","No more than usual","About same as usual"
"2020/11/13 10:21:28 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Somewhat","19","2007","7","3","7","1","3","3","8","7","1","The video has some army officers search a building and kill what seem like innocent people in a brutal manner","Yes","No","Definitely","Possibly","Probably","Probably","Probably Not","Probably","Definitely Not","Probably","Definitely","Definitely Not","Probably","Probably Not","Possibly","Possibly","Definitely","Definitely","Probably Not","Definitely","Definitely","Definitely","Probably Not","Definitely","Probably","Definitely","Definitely Not","Possibly","Probably Not","Definitely","Probably","Probably","Possibly","Same as usual","Not at all","Less useful than usual","Same as usual","Rather more than usual","Not at all","Less so than usual","Less so than usual","Rather more than usual","Rather more than usual","No more than usual","About same as usual"
"2020/11/13 10:25:23 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Slightly","19","2018","7","3","7","2","6","3","6","7","3","This might have happened during world war times. When the wheelchair person was takken, nobody in family stopped them.","No","No","Definitely","Probably","Probably Not","Possibly","Possibly","Probably","Definitely","Probably","Probably Not","Probably Not","Probably","Definitely","Probably","Possibly","Probably","Probably","Possibly","Definitely","Probably","Probably","Definitely","Probably","Probably Not","Probably","Probably Not","Probably","Probably Not","Probably","Probably","Possibly","Possibly","Less than usual","Rather more than usual","Same as usual","Less useful than usual","Rather more than usual","Much more than usual","Less so than usual","More so than usual","Rather more than usual","Rather more than usual","Rather more than usual","About same as usual"
"2020/11/13 11:23:48 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Not at all","20","2006","7","3","6","5","2","3","6","6","3","The short scene from the pov of a family trying to hide from the police. The police beat up another family they caught to show the gravity of the situation.","Yes","Yes","Definitely","Probably","Probably Not","Definitely","Definitely","Probably","Possibly","Definitely","Probably Not","Probably Not","Definitely","Definitely","Definitely","Definitely","Probably","Definitely","Possibly","Probably Not","Probably Not","Probably Not","Definitely","Definitely Not","Definitely","Definitely","Definitely Not","Definitely","Definitely Not","Definitely Not","Probably Not","Possibly","Probably","Much less than usual","Not at all","Much less useful","Much less capable","Not at all","Much more than usual","More so than usual","Much less than usual","Not at all","Much more than usual","Much more than usual","About same as usual"
"2020/11/13 11:27:42 AM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Prefer not to answer","Not at all","17","2039","1","5","1","5","1","1","1","1","7","This is probably some video of the anne frank variety, there are tons of videos on the torturing and killing of jews , I've seen many heard about many, the old man is thrown off the railing, the ones who can move are shot etc.","No","Yes","Probably","Definitely Not","Definitely Not","Definitely Not","Definitely","Possibly","Definitely","Definitely Not","Definitely Not","Possibly","Definitely","Definitely Not","Definitely","Definitely Not","Definitely Not","Definitely Not","Probably Not","Definitely Not","Definitely Not","Definitely Not","Definitely","Definitely Not","Definitely","Probably","Probably Not","Definitely","Definitely","Definitely Not","Definitely Not","Probably","Definitely Not","Same as usual","Not at all","Much less useful","More so than usual","Much more than usual","Rather more than usual","Much less than usual","Much less than usual","Much more than usual","Much more than usual","Not at all","More so than usual"
"2020/11/13 8:45:13 PM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Not at all","20","22072000","8","1","7","1","1","6","5","5","1","The video shows cruel and inhumane persecution of a family in the middle of a street. It is being carried out by armed personnel.","No","Yes","Probably","Possibly","Probably","Definitely","Probably","Possibly","Probably Not","Probably","Probably Not","Probably Not","Definitely","Definitely Not","Probably","Definitely","Definitely","Definitely","Probably Not","Definitely","Possibly","Possibly","Probably","Probably","Probably Not","Definitely","Definitely Not","Definitely","Probably Not","Probably","Probably","Possibly","Probably","Less than usual","Rather more than usual","Much less useful","Less so than usual","Rather more than usual","Rather more than usual","Much less than usual","Less so than usual","Much more than usual","Much more than usual","Much more than usual","Much less than usual"
"2020/11/13 9:38:52 PM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Slightly","20","2033","8","9","7","3","7","9","6","4","1","This is a scene from a movie showing the ill treatment of Jews under Nazi German rule. It is quite disturbing","Yes","No","Definitely","Probably Not","Definitely","Possibly","Definitely","Probably","Probably","Possibly","Probably","Probably Not","Definitely","Definitely","Definitely","Probably","Possibly","Definitely","Probably Not","Probably","Possibly","Definitely","Possibly","Probably","Probably Not","Definitely","Definitely Not","Definitely","Definitely Not","Probably","Probably","Probably Not","Probably","Less than usual","Not at all","Same as usual","Same as usual","No more than usual","No more than usual","Much less than usual","Less so than usual","Not at all","Rather more than usual","No more than usual","About same as usual"
"2020/11/13 10:52:38 PM GMT+4","I understand the type of data being collected in this study and the reason for its collection. Thus, I hereby give consent to participate in this study.","Man","Somewhat","20","2033","8","2","8","8","2","8","8","8","3","Inhuman treatment of a certain class of people by a tyrant government. We could see how the armed men barged into the house of innocents and didn't even hesitate to throw a paralyzed person out of the window just because he couldn't stand up in respect.  The remaining people were made to run before being shot down, like an animal hunt. While the armed vehicles were driving off they rode over the bodies of the injured people and ensured that atleast they get crushed and killed if they had survived the bullet wounds.","No","Yes","Definitely","Probably Not","Definitely","Definitely","Definitely","Probably","Definitely","Probably","Probably","Probably Not","Definitely","Definitely","Definitely","Definitely","Definitely","Definitely","Definitely Not","Definitely","Probably","Definitely","Probably","Definitely","Definitely Not","Definitely","Definitely Not","Definitely","Definitely Not","Definitely","Probably","Probably Not","Possibly","Same as usual","Rather more than usual","Same as usual","Same as usual","No more than usual","No more than usual","Same as usual","Same as usual","Not at all","Not at all","Not at all","About same as usual"
